1.1-parser-to-AST;10.000553999999966;8.064061000000038;8.600965999999971
1.2-parser-to-AST;10.562595999999985;6.238084000000072;5.713504000000057
1.1-parser-to-AST-+-source;12.111521999999923;7.035433000000012;7.055372999999918
1.2-parser-to-AST-+-source;12.042599999999993;7.563617000000022;7.409521000000041
sparqlJS-to-AST;44.684087000000545;38.30806600000051;38.3334990000003;38.78040899999996
1.1-to-algebra;9.148864000000003;9.57449900000006;8.629153999999971;9.183275999999978
1.2-parser-to-algebra;16.159737999999834;9.975042999999914;10.302001999999902;10.759315000000015
sparqlJS-to-algebra;44.35702999999921;39.68226299999969;40.02764300000035;40.66253400000005
